Assembly	sample_13_contigs_fixed
# contigs (>= 1000 bp)	36158
# contigs (>= 5000 bp)	612
# contigs (>= 10000 bp)	218
# contigs (>= 25000 bp)	28
Total length (>= 1000 bp)	58269741
Total length (>= 5000 bp)	6425864
Total length (>= 10000 bp)	3712298
Total length (>= 25000 bp)	893215
# contigs	36158
Largest contig	51341
Total length	58269741
GC (%)	60.29
N50	1490
N75	1179
L50	11578
L75	22677
# N's per 100 kbp	0.00
