All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    sample_07_contigs_fixed
# contigs (>= 1000 bp)      2351                   
# contigs (>= 1200 bp)      1219                   
# contigs (>= 1679 bp)      370                    
# contigs (>= 2500 bp)      64                     
# contigs (>= 5000 bp)      0                      
# contigs (>= 10000 bp)     0                      
# contigs (>= 25000 bp)     0                      
Total length (>= 1000 bp)   3206281                
Total length (>= 1200 bp)   1976171                
Total length (>= 1679 bp)   800729                 
Total length (>= 2500 bp)   196443                 
Total length (>= 5000 bp)   0                      
Total length (>= 10000 bp)  0                      
Total length (>= 25000 bp)  0                      
# contigs                   2351                   
Largest contig              4688                   
Total length                3206281                
GC (%)                      50.87                  
N50                         1304                   
N75                         1113                   
L50                         920                    
L75                         1591                   
# N's per 100 kbp           0.00                   
