All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    sample_21_contigs_fixed
# contigs (>= 1000 bp)      21686                  
# contigs (>= 1200 bp)      12302                  
# contigs (>= 1679 bp)      4112                   
# contigs (>= 2500 bp)      953                    
# contigs (>= 5000 bp)      87                     
# contigs (>= 10000 bp)     6                      
# contigs (>= 25000 bp)     0                      
Total length (>= 1000 bp)   31083351               
Total length (>= 1200 bp)   20874052               
Total length (>= 1679 bp)   9521285                
Total length (>= 2500 bp)   3287041                
Total length (>= 5000 bp)   593059                 
Total length (>= 10000 bp)  77931                  
Total length (>= 25000 bp)  0                      
# contigs                   21686                  
Largest contig              19246                  
Total length                31083351               
GC (%)                      62.89                  
N50                         1369                   
N75                         1140                   
L50                         8122                   
L75                         14389                  
# N's per 100 kbp           0.00                   
