bins	sample_01_reads_against_MAGs	sample_02_reads_against_MAGs	sample_03_reads_against_MAGs	sample_04_reads_against_MAGs	sample_05_reads_against_MAGs	sample_06_reads_against_MAGs	sample_07_reads_against_MAGs	sample_08_reads_against_MAGs	sample_09_reads_against_MAGs	sample_10_reads_against_MAGs	sample_11_reads_against_MAGs	sample_12_reads_against_MAGs	sample_13_reads_against_MAGs	sample_14_reads_against_MAGs	sample_15_reads_against_MAGs	sample_16_reads_against_MAGs	sample_17_reads_against_MAGs	sample_18_reads_against_MAGs	sample_19_reads_against_MAGs	sample_20_reads_against_MAGs	sample_21_reads_against_MAGs	sample_22_reads_against_MAGs	sample_23_reads_against_MAGs	sample_24_reads_against_MAGs
T3_N1K1_MAG_00002	5.397193850665377	3.5837383392150723	2.948157706157463	1.4647975819299202	4.762096936377265	3.738035371947228	1.894336460865934	1.8160014330439815	2.902084464968216	9.443455077464897	5.666251387519245	2.283974117213162	6.405771389849866	6.266241976881715	2.9696418917042124	4.579058437759495	2.940767860697469	5.896176858747934	5.92440810520625	3.9370438866966464	5.0711359294084115	6.5728423857130425	2.4955698526381127	6.385177149052867
T3_N1K1_MAG_00004	4.759332223290994	0.8421977412403916	1.5090935952625928	0.17486541531299488	1.3061865375176465	0.6268098803351865	0.08908871504892199	0.060803410460674105	4.2067541863558615	2.1478342357796705	1.3559238855172584	0.7768766095812814	1.968982329253913	1.6786466249130387	0.2162452928184216	0.22695018910281564	5.276626329722229	1.334219183814629	2.309423445010899	0.42575781720070743	1.3297965699784184	1.581265144127148	0.18760896931153878	0.5136244444664065
T3_N1K1_MAG_00005	4.968787571853135	0.32748731673179426	1.16025091934392	0.0760679063585229	1.0814730242449315	0.37553912589439736	0.05387672614634425	0.05074694169620579	4.770757415919165	1.01608553168094	0.6218769713836861	0.4730296757706471	1.0812045538183814	0.861912071232571	0.11627984625279485	0.24954891100979817	5.945801461313027	0.5267390794181073	1.399915764322256	0.33036720323590224	0.6226319489464712	0.9573689810848213	0.10998210995638293	0.533335802035756
T3_N1K1_MAG_00006	8.063715966348738	0.3671380942105145	2.2132592036800878	0.092285316011382	1.2461739417608315	0.5520520170282116	0.03184441703404207	0.053870192255780644	4.802351003720298	0.6281194514836637	0.8078058735512859	0.8023540183249411	0.9380389136255979	1.285644936488758	0.14667297474639288	0.3380345303485344	9.3149021919927	0.6873911852668525	3.044122714284547	0.11982349457093551	0.9647553403829501	2.6042370634727545	0.09077754032356689	0.37383264407004435
T3_N1P2K2_MAG_00001	0.8698541178305707	1.8880402246824362	0.7872842979096816	0.7157458705634269	1.2625764685276986	1.0072562863564034	0.8605615121137411	0.5741635703387669	0.4088017166461376	4.370450494150768	1.8604259650883765	1.252618874997912	1.632857593894623	1.9536479484449873	1.4887720417281218	0.9501235534880068	0.3941538382872105	3.327319934404899	1.7507734556020118	1.5765457899802224	1.391017998417262	1.5713218266977367	1.1504972681849142	2.0595094899721786
T3_N1P2K2_MAG_00006	1.4929084387446903	2.555041623444469	1.4443817221913826	1.8799099481947112	1.4275489019902663	1.1896123168338142	1.5910445978204657	1.6529410968270972	0.9196531181130608	7.1821419648190545	3.466671746596839	2.299786952534034	1.9410662106157572	2.7697488841413933	2.9066068627499373	3.2056506515419723	0.9624914103506546	4.896356312943119	3.6438708145098557	5.097729252544983	2.0049312454634944	2.4045040725616706	2.6345289448892033	6.467432630403044
T3_N1P2K2_MAG_00007	0.8844934559183888	2.107625405572135	1.2529582341528858	0.45453319882528886	0.7748924075093372	0.4412402349650909	0.9480802880109834	0.15901054789599273	0.4565741608638348	4.770367657747219	2.82998766323228	0.9715109776696117	0.9252904191945012	1.1751129345573013	1.495486819051989	0.7474385146848227	0.7959228918634468	4.367948919637032	3.1247578670871112	0.8825318781139715	0.6328696150341366	1.3740343369057468	1.2390625530288268	0.6406445431315752
T7_N1P2K2_MAG_00004	7.71977938673257	4.7944868157245555	3.6386167564489296	1.7763042672223086	3.718897813356987	3.966858338474382	1.1683188895380239	1.3766464590758452	4.038997560205659	13.823330757035578	5.43297889624787	3.8310814312825348	5.422493070902513	6.967932729674525	1.7288067743330806	2.226579489600942	4.617738776658685	7.996967404576767	6.650023196746268	2.9121057276897964	3.7734988609056623	6.883186288016634	1.4396811139972754	4.030776475084134
T7_N1P2K2_MAG_00005	1.2113879267652319	2.3165890826651836	1.3770929852184628	2.1982040255255297	1.4767573268388225	0.8191109779922894	1.9670896101025388	1.8582736038325844	0.7163354701283132	6.127422978335773	3.152183320775387	2.025398656646779	2.1299408456406024	2.30009374837154	2.974909485270256	3.8338602248349085	0.6821645498178464	4.394824540799521	2.8935258956282923	5.365441409340078	1.9782408876771056	2.0865448432824563	2.969190545237323	7.388806689049893
T7_N1P2K2_MAG_00007	0.3364981787164755	1.9272323690656503	0.9307357307382077	2.795749383726193	0.43540302123992675	0.3018377959677548	2.2260691054041963	2.041540142365922	0.23363776498374036	4.8666307724063165	3.1160202739468184	1.7261046366654003	0.5725818204665067	0.6870620933369103	3.627358470884526	4.795715879733554	0.1698252708899901	3.4442725525331532	1.9547475868535265	7.900994870602649	0.5412563723168915	0.5956092545904623	3.521974621637193	7.121360486435035
T7_N1P2K2_MAG_00008	1.6824332006694558	0.6095058632316565	0.6940246973895772	0.0606664308161667	2.391068427328731	1.7108398654304562	0.07175900536797993	0.40730169368490915	0.9773860368461532	1.4323777907115554	1.2181526688507947	0.506527254438829	2.4634263627736677	3.910924937025332	0.24458354079507638	3.246726214158286	1.343236995677867	1.0849286965428375	1.4334564591366314	0.12248132193071425	1.744518418079644	4.724223135763268	0.20033236332241955	1.2384011711847867
sample_16_MAG_00001	2.927352349600328	5.239223300924405	3.1299962485514228	4.884157537617163	3.144253206788718	2.6149963080189136	4.045405844286024	3.539317006364729	1.5978414864812398	21.237164795630854	10.92346079872001	4.923807939912709	4.803157241383323	6.544638167553381	9.02310927405386	9.573817094352094	1.4236723339592547	12.732298549345266	10.609218209190534	17.972886750481987	4.01802105211573	5.108046791327338	7.556032427281361	20.42907485699072
