Assembly	sample_22_contigs_fixed
# contigs (>= 1000 bp)	161681
# contigs (>= 1200 bp)	100298
# contigs (>= 1679 bp)	41555
# contigs (>= 2500 bp)	14213
# contigs (>= 5000 bp)	2230
# contigs (>= 10000 bp)	570
# contigs (>= 25000 bp)	118
Total length (>= 1000 bp)	263852084
Total length (>= 1200 bp)	197020782
Total length (>= 1679 bp)	115233215
Total length (>= 2500 bp)	60818061
Total length (>= 5000 bp)	22195320
Total length (>= 10000 bp)	11288459
Total length (>= 25000 bp)	4679612
# contigs	161681
Largest contig	91511
Total length	263852084
GC (%)	60.96
N50	1544
N75	1196
L50	51934
L75	101023
# N's per 100 kbp	0.00
