Assembly	sample_11_contigs_fixed
# contigs (>= 1000 bp)	35333
# contigs (>= 1200 bp)	20610
# contigs (>= 1679 bp)	7447
# contigs (>= 2500 bp)	2318
# contigs (>= 5000 bp)	522
# contigs (>= 10000 bp)	148
# contigs (>= 25000 bp)	21
Total length (>= 1000 bp)	55267218
Total length (>= 1200 bp)	39253908
Total length (>= 1679 bp)	21016691
Total length (>= 2500 bp)	10879772
Total length (>= 5000 bp)	5072877
Total length (>= 10000 bp)	2532211
Total length (>= 25000 bp)	729474
# contigs	35333
Largest contig	56643
Total length	55267218
GC (%)	59.60
N50	1445
N75	1165
L50	11717
L75	22469
# N's per 100 kbp	0.00
