gene_callers_id	sample_01_reads_against_MAGs	sample_02_reads_against_MAGs	sample_03_reads_against_MAGs	sample_04_reads_against_MAGs	sample_05_reads_against_MAGs	sample_06_reads_against_MAGs	sample_07_reads_against_MAGs	sample_08_reads_against_MAGs	sample_09_reads_against_MAGs	sample_10_reads_against_MAGs	sample_11_reads_against_MAGs	sample_12_reads_against_MAGs	sample_13_reads_against_MAGs	sample_14_reads_against_MAGs	sample_15_reads_against_MAGs	sample_16_reads_against_MAGs	sample_17_reads_against_MAGs	sample_18_reads_against_MAGs	sample_19_reads_against_MAGs	sample_20_reads_against_MAGs	sample_21_reads_against_MAGs	sample_22_reads_against_MAGs	sample_23_reads_against_MAGs	sample_24_reads_against_MAGs
0	3.207373271889401	11.598260869565218	1.1026438569206842	5.332794830371567	2.5673913043478263	3.536741214057508	3.76425855513308	3.143103448275862	0.0	67.27090909090909	26.391666666666666	5.395669291338582	4.630252100840337	13.938271604938272	19.73208722741433	18.71571906354515	0.0	27.64236902050114	32.038306451612904	36.163021868787276	8.21415270018622	9.975124378109452	12.294642857142858	61.780114722753346
1	3.7845117845117846	7.897777777777778	0.7205387205387206	7.605442176870748	1.2525252525252526	3.622895622895623	7.794612794612795	5.6606498194945845	0.0	56.35686274509804	22.16	8.07473309608541	8.832	11.561983471074381	19.868312757201647	41.5726872246696	0.0	27.908127208480565	37.361216730038024	47.95754716981132	5.170818505338079	9.942760942760943	16.616438356164384	65.8515625
2	2.981060606060606	12.57	3.6231060606060606	12.108407079646017	2.741206030150754	1.3371212121212122	4.037383177570093	3.7375328083989503	0.0	56.12585812356979	27.676959619952495	9.74487471526196	8.973544973544973	11.463312368972746	20.09492273730684	20.86984815618221	0.0	33.15702479338843	20.297741273100616	46.94279176201373	3.6136363636363638	12.103157894736842	26.44215938303342	56.1844262295082
3	3.03481228668942	7.3556019485038275	2.7832669322709163	7.034076015727392	3.4216634429400385	1.571884984025559	6.101249178172255	5.452980132450331	0.0	58.18445322793149	28.970974429854873	7.786836200448766	7.742379547689282	12.792134831460674	19.57494722026742	20.11903064861012	1.0452488687782806	30.13589076723017	26.60875807609476	47.482894736842105	5.511688311688312	10.711760707002039	14.871815940838127	62.056406685236766
4	5.633928571428571	10.336363636363636	3.520408163265306	4.803921568627451	4.477124183006536	5.427350427350428	8.61437908496732	7.869565217391305	0.0	61.69285714285714	23.195876288659793	9.655462184873949	6.933333333333334	15.906474820143885	28.131944444444443	22.421875	0.0	33.027027027027025	26.42753623188406	59.29496402877698	9.42	20.541984732824428	16.156462585034014	61.45378151260504
5	10.269035532994923	5.473429951690822	0.0	17.59512195121951	6.961352657004831	1.9371980676328502	2.285024154589372	5.23469387755102	0.0	59.36363636363637	17.40487804878049	7.117647058823529	12.209756097560975	7.4423076923076925	27.078014184397162	32.95348837209303	0.0	37.11643835616438	32.25396825396825	30.34375	0.0	7.575609756097561	14.707920792079207	51.92045454545455
6	2.830246913580247	13.560126582278482	5.651234567901234	10.17142857142857	4.224025974025974	7.0311111111111115	5.3344370860927155	1.3333333333333333	0.0	68.88271604938272	36.596825396825395	5.546296296296297	7.6234567901234565	10.42361111111111	21.711610486891384	23.17142857142857	0.0	47.305454545454545	31.00314465408805	52.65806451612903	6.941358024691358	8.79326923076923	18.00952380952381	70.33641975308642
7	6.88974358974359	8.965986394557824	2.3461538461538463	5.849056603773585	4.605421686746988	2.694871794871795	4.2988505747126435	4.58203125	1.841025641025641	60.69426751592356	26.826704545454547	9.947916666666666	7.094276094276094	13.16504854368932	12.494163424124514	23.25128205128205	0.4256410256410256	35.5565749235474	22.8560411311054	51.23913043478261	11.115485564304462	9.853521126760564	15.15128205128205	77.95454545454545
8	0.0	12.089026915113871	2.390909090909091	6.1147186147186146	5.998003992015968	4.062691131498471	5.98841059602649	4.99163179916318	0.8727272727272727	57.498310810810814	23.11936936936937	7.444444444444445	9.284389489953632	15.659574468085106	15.822006472491909	28.714285714285715	1.496969696969697	29.658886894075405	19.90924092409241	68.91078066914498	4.855284552845529	9.785123966942148	11.921097770154374	49.89003436426117
9	3.119485294117647	23.228511530398322	5.394389438943894	8.461946902654867	6.750551876379691	1.9555125725338491	15.310276679841897	6.430948419301164	2.0	109.12422360248448	44.709486166007906	13.26955074875208	14.299806576402322	20.29268292682927	38.34674329501916	40.88273615635179	0.34408602150537637	78.61833333333334	49.860162601626016	99.7855626326964	6.135254988913526	16.44941634241245	26.44137931034483	115.87314662273477
