gene_callers_id	sample_01_reads_against_MAGs	sample_02_reads_against_MAGs	sample_03_reads_against_MAGs	sample_04_reads_against_MAGs	sample_05_reads_against_MAGs	sample_06_reads_against_MAGs	sample_07_reads_against_MAGs	sample_08_reads_against_MAGs	sample_09_reads_against_MAGs	sample_10_reads_against_MAGs	sample_11_reads_against_MAGs	sample_12_reads_against_MAGs	sample_13_reads_against_MAGs	sample_14_reads_against_MAGs	sample_15_reads_against_MAGs	sample_16_reads_against_MAGs	sample_17_reads_against_MAGs	sample_18_reads_against_MAGs	sample_19_reads_against_MAGs	sample_20_reads_against_MAGs	sample_21_reads_against_MAGs	sample_22_reads_against_MAGs	sample_23_reads_against_MAGs	sample_24_reads_against_MAGs
0	3.207373271889401	11.920122887864823	1.1382488479262673	5.660522273425499	3.9800307219662057	3.7465437788018434	5.2642089093702	3.4807987711213517	0.8924731182795699	63.21044546850999	26.34869431643625	6.190476190476191	4.903225806451613	14.01689708141321	19.972350230414747	19.827956989247312	0.8970814132104454	30.43778801843318	29.270353302611365	38.8494623655914	7.904761904761905	10.67741935483871	13.95852534562212	58.01228878648234
1	3.7845117845117846	10.090909090909092	0.7205387205387206	7.558922558922559	1.2525252525252526	3.622895622895623	7.794612794612795	6.02020202020202	0.0	56.94949494949495	21.53872053872054	8.232323232323232	8.043771043771043	12.976430976430976	19.016835016835017	36.4983164983165	0.05387205387205387	28.703703703703702	36.03703703703704	51.54882154882155	5.484848484848484	9.942760942760943	20.60942760942761	65.6026936026936
2	2.981060606060606	11.75	3.6231060606060606	11.119318181818182	3.960227272727273	1.3371212121212122	4.7272727272727275	4.681818181818182	0.0	55.93181818181818	28.132575757575758	12.403409090909092	9.329545454545455	12.219696969696969	20.482954545454547	21.34280303030303	0.01893939393939394	34.19886363636363	20.321969696969695	46.68560606060606	3.6136363636363638	11.5625	24.58712121212121	55.03977272727273
3	3.570888468809074	7.5053560176433525	3.2879647132955263	7.228733459357278	3.5916824196597354	2.4373030875866415	6.144297416509136	5.822936357908002	0.7895400126023945	58.800252047889096	30.440453686200378	8.28481411468179	7.856332703213611	14.873976055450536	20.546943919344674	19.796471329552617	1.1203528670447385	30.495904221802142	28.36231884057971	47.646502835538755	5.763074984247007	11.696912413358538	16.126023944549463	64.48393194706995
4	4.503267973856209	8.941176470588236	2.2549019607843137	4.803921568627451	4.477124183006536	4.620915032679738	8.61437908496732	7.326797385620915	0.6405228758169934	62.35947712418301	22.797385620915033	8.457516339869281	5.477124183006536	16.052287581699346	28.54901960784314	23.790849673202615	0.0	32.78431372549019	25.54248366013072	58.34640522875817	9.287581699346406	19.424836601307188	15.856209150326798	59.39869281045752
5	9.898550724637682	5.473429951690822	0.463768115942029	17.42512077294686	6.961352657004831	1.9371980676328502	2.285024154589372	5.434782608695652	1.3236714975845412	57.78260869565217	17.256038647342994	7.024154589371981	12.11111111111111	8.376811594202898	21.429951690821255	28.52657004830918	1.9710144927536233	31.67632850241546	33.44444444444444	29.594202898550726	5.739130434782608	7.521739130434782	14.859903381642512	47.589371980676326
6	2.830246913580247	13.79320987654321	5.651234567901234	10.444444444444445	4.361111111111111	6.20679012345679	5.854938271604938	2.111111111111111	0.0	68.88271604938272	36.092592592592595	5.546296296296297	7.6234567901234565	11.179012345679013	20.700617283950617	23.555555555555557	0.6604938271604939	43.91358024691358	31.314814814814813	52.02469135802469	6.941358024691358	12.074074074074074	18.33641975308642	70.33641975308642
7	6.88974358974359	8.846153846153847	2.3461538461538463	6.128205128205129	5.18974358974359	2.694871794871795	5.846153846153846	4.7615384615384615	1.841025641025641	64.95128205128205	26.753846153846155	8.271794871794873	7.133333333333334	11.8	16.05897435897436	23.25128205128205	0.4256410256410256	34.38461538461539	22.879487179487178	51.56923076923077	11.287179487179488	9.72051282051282	15.15128205128205	77.42820512820512
8	1.0696969696969696	11.940909090909091	2.390909090909091	5.2696969696969695	5.107575757575757	4.116666666666666	5.565151515151515	6.134848484848485	0.8727272727272727	57.6469696969697	27.786363636363635	9.86969696969697	9.16060606060606	14.639393939393939	16.425757575757576	28.754545454545454	1.496969696969697	32.36666666666667	20.475757575757576	62.60757575757576	5.256060606060606	12.581818181818182	13.780303030303031	50.39545454545455
9	2.778861788617886	20.247154471544714	5.505691056910569	9.299186991869918	8.669918699186992	2.4796747967479673	15.515447154471545	6.626016260162602	2.0	102.37560975609756	44.635772357723575	13.489430894308944	15.50569105691057	21.60650406504065	36.6520325203252	40.93983739837398	1.4715447154471544	77.6	49.860162601626016	90.5170731707317	10.652032520325204	17.71219512195122	25.554471544715447	115.30081300813008
10	0.1246376811594203	10.379710144927536	1.0260869565217392	12.492753623188406	1.0753623188405796	0.9188405797101449	5.472463768115942	2.214492753623188	2.5188405797101447	57.768115942028984	23.10144927536232	7.614492753623188	10.040579710144927	7.826086956521739	31.666666666666668	23.6	0.11304347826086956	38.710144927536234	31.179710144927537	52.76231884057971	12.214492753623189	10.860869565217392	11.87536231884058	65.38840579710146
11	2.720720720720721	2.4024024024024024	2.4384384384384385	6.396396396396397	1.7687687687687688	1.4174174174174174	2.186186186186186	1.894894894894895	0.9069069069069069	43.92492492492492	17.234234234234233	11.2012012012012	8.591591591591591	7.471471471471472	10.94894894894895	23.53753753753754	0.0	21.276276276276278	16.57957957957958	52.16216216216216	2.720720720720721	7.828828828828829	12.567567567567568	41.609609609609606
12	1.9479905437352245	13.926713947990544	3.458628841607565	6.723404255319149	2.0945626477541373	4.6477541371158395	7.231678486997636	1.5768321513002364	1.3475177304964538	70.15366430260048	23.04728132387707	7.635933806146572	7.49645390070922	14.59338061465721	28.18676122931442	29.976359338061467	1.3971631205673758	37.205673758865245	31.95271867612293	58.593380614657214	8.680851063829786	9.515366430260046	22.486997635933808	70.26713947990544
13	3.0240549828178693	12.192439862542955	3.986254295532646	5.280068728522337	5.652920962199313	1.1030927835051547	6.101374570446735	4.484536082474227	0.0	61.40721649484536	30.45017182130584	8.309278350515465	6.391752577319588	13.426116838487973	15.630584192439862	23.927835051546392	0.16838487972508592	48.345360824742265	29.572164948453608	55.187285223367695	6.766323024054983	5.649484536082475	15.45360824742268	57.7852233676976
14	1.8831615120274914	9.052691867124857	4.029782359679267	6.914089347079038	2.6265750286368843	1.6838487972508591	5.1924398625429555	3.4604810996563575	0.5463917525773195	70.01832760595647	24.963344788087056	8.20389461626575	8.407789232531501	10.6368843069874	18.90950744558992	24.075601374570446	0.2898052691867125	30.758304696449027	23.145475372279495	57.18213058419244	6.138602520045819	11.1340206185567	15.131729667812142	47.04696449026346
15	0.4088397790055249	2.52670349907919	6.044198895027624	5.955801104972376	2.850828729281768	1.594843462246777	2.3775322283609577	2.0755064456721914	1.6685082872928176	36.06077348066298	14.497237569060774	3.856353591160221	6.2154696132596685	5.289134438305709	14.211786372007367	12.825046040515653	0.4990791896869245	19.48802946593002	17.96316758747698	28.394106813996316	7.152854511970534	2.8858195211786373	7.058931860036832	33.73480662983425
16	4.102362204724409	8.68766404199475	6.346456692913386	6.9317585301837275	3.7559055118110236	4.241469816272966	6.729658792650919	5.270341207349081	1.5433070866141732	64.40682414698163	25.401574803149607	6.687664041994751	6.6272965879265096	12.094488188976378	26.761154855643046	25.396325459317584	0.6981627296587927	39.06299212598425	29.488188976377952	34.196850393700785	4.732283464566929	11.076115485564305	12.299212598425196	63.46194225721785
17	9.598484848484848	9.537878787878787	6.575757575757576	9.840909090909092	1.4545454545454546	2.3333333333333335	6.4393939393939394	1.8257575757575757	1.6666666666666667	64.91666666666667	22.803030303030305	3.037878787878788	4.4393939393939394	15.386363636363637	24.78030303030303	19.71212121212121	1.6590909090909092	32.47727272727273	31.545454545454547	36.946969696969695	3.643939393939394	9.613636363636363	12.159090909090908	62.65151515151515
18	1.050387596899225	17.728682170542637	5.965116279069767	6.7015503875969	3.7170542635658914	1.9689922480620154	5.3023255813953485	2.624031007751938	1.7054263565891472	61.286821705426355	38.72868217054263	8.647286821705427	3.1550387596899223	7.007751937984496	26.8953488372093	16.852713178294575	0.0	28.75968992248062	31.593023255813954	53.41860465116279	7.01937984496124	9.624031007751938	12.375968992248062	61.98062015503876
19	1.0484848484848486	5.490909090909091	4.951515151515151	12.090909090909092	4.709090909090909	4.236363636363636	4.290909090909091	1.2545454545454546	0.5878787878787879	65.49090909090908	14.466666666666667	3.9696969696969697	4.96969696969697	14.696969696969697	27.084848484848486	25.2	0.0	41.21818181818182	17.575757575757574	56.448484848484846	9.030303030303031	13.090909090909092	18.387878787878787	61.054545454545455
