gene_callers_id	sample_01_reads_against_MAGs	sample_02_reads_against_MAGs	sample_03_reads_against_MAGs	sample_04_reads_against_MAGs	sample_05_reads_against_MAGs	sample_06_reads_against_MAGs	sample_07_reads_against_MAGs	sample_08_reads_against_MAGs	sample_09_reads_against_MAGs	sample_10_reads_against_MAGs	sample_11_reads_against_MAGs	sample_12_reads_against_MAGs	sample_13_reads_against_MAGs	sample_14_reads_against_MAGs	sample_15_reads_against_MAGs	sample_16_reads_against_MAGs	sample_17_reads_against_MAGs	sample_18_reads_against_MAGs	sample_19_reads_against_MAGs	sample_20_reads_against_MAGs	sample_21_reads_against_MAGs	sample_22_reads_against_MAGs	sample_23_reads_against_MAGs	sample_24_reads_against_MAGs
0	2.9696376004791594	2.4209944995248707	1.0323127076377039	3.0140876191642345	1.131477362033351	2.3048964937211074	1.9571299216218168	1.2561040025254768	0.0	9.357411699770843	4.111053865967812	2.1841728791976	2.5858878364754574	7.9812212918166106	7.383563353355508	5.1625212658874595	0.0	3.9173848652807237	4.072991335887721	5.812277436558044	2.6539638459977724	3.7528600184210736	5.590550689807411	7.381662100075269
1	2.494579142530053	1.2122502288240455	0.44873452368092215	2.3763512393252983	1.735023075037082	1.0664209151315436	3.0979907578289954	2.207716270285019	0.0	3.0643589933270903	1.0071742649611337	1.2618556704444306	1.8514253968226753	2.263225818862274	2.2660365938284768	4.832685456964909	0.0	6.836198421648036	5.80765340419814	2.13088023769466	2.20142360260167	4.237092475572765	3.718263466338036	3.2646062256562813
2	1.8079216502095998	2.457661490116163	2.3556822445389356	4.0378979168000955	1.0494605231795913	0.8164877945449981	1.3425128736037402	1.233556709047225	0.0	6.464491605963935	2.8659962838569837	4.634579832464178	1.9448313332122267	3.0373661651312154	5.501939919230778	3.1069828601414002	0.0	4.507126156373697	2.869448041780375	2.9198170039404254	2.3456850368306097	2.038547090019543	2.756599273199356	6.803958834261742
3	2.384137650551529	3.2419578142307155	1.1778326390281055	3.360809134536288	3.230279864068208	1.2281737759095934	2.4557099299523784	3.6430248683831765	0.0	14.40086627042698	8.650264582682853	2.1569404626478574	2.0909749979330012	3.0148326367689764	5.743844002716739	6.3546370944977655	1.1108073955157407	5.559268016343073	6.8682490525401265	7.828152436422469	3.002681659717467	4.465274013862704	3.2489178132239056	9.974634649535298
4	0.4817293200077218	0.9561026259795328	0.5196072267948577	1.8996347207502533	1.1380809861270023	0.776979020674428	2.2232408276799918	0.8624710619511899	0.0	2.980643335569949	0.9700587213358963	1.0406605432210227	1.8290859891091933	1.4238062592060985	3.1074429640286816	3.1981668943904413	0.0	3.0357018555889668	4.583979160548117	4.265392333806586	1.8771254619763698	2.0048016481991118	3.7301869885688776	3.4876683096271557
5	3.4411227042554704	2.6789606686954	0.0	6.352028722193165	4.4611532169822965	1.8496423141347658	2.0361272974441538	2.4172045770917974	0.0	14.176345745503369	5.684980263368027	1.9543521952001142	4.038824078925894	1.965211493203149	3.364543791033878	7.654466664914245	0.0	6.042668232617749	9.504053583472196	3.989120947965855	0.0	1.9204649446962732	2.3481268358609726	11.079487179333924
6	1.0056377809336179	4.573540299379998	2.2399222223688593	3.4127412326586435	1.399840213275063	1.0599417640653075	3.3707064199097267	0.6851373829081122	0.0	10.376484455735131	8.685290762903703	2.0655205570189237	2.1184534077306254	3.645925924750177	1.9379842103563178	7.077517019798178	0.0	7.07937897075515	6.504714510712031	6.577516650390194	3.4844831535145873	1.6613690151311566	5.403987777579327	10.175365168760997
7	5.160068319553425	1.106043792335182	1.1097114787524507	2.3273523993727494	1.1965188474490358	2.122341319361977	0.9721991013237012	1.1009181958817091	1.0027444260418117	6.269593410543523	4.465279239357141	2.0174746573515008	1.033708418989186	3.2493875570675446	2.186126440478565	8.963941206081625	0.49443982741308506	3.29706725576455	4.130250278224807	4.468866404997993	3.1816891777906005	1.1387948888405823	7.498730552220559	7.197412501623213
8	0.0	3.079744767277593	1.6223558695591769	1.18697833236962	1.019762803613059	1.8957661114305655	2.4348867802703693	1.1015076461621438	1.3714121735868685	5.562907791127391	3.299151345771365	5.220200935753105	3.3644363178717964	5.41610490022867	4.345965043036807	6.337552205295157	1.0217290302242266	5.372512745025886	4.309404913782468	12.260320549861298	2.1489722728780807	3.1569328444919758	4.322419613635574	7.334070823504496
9	1.1272310034229251	5.570981313461788	4.234609275520483	4.249400136408028	1.917050462791581	0.9970719115710087	3.147960805934729	4.052357905139848	2.1759961740760243	11.10094344225661	11.677170597996323	4.347687200246237	2.956986933136846	2.4796134871802233	5.722215808730806	16.163333510392327	0.4884609064361544	17.120436050391813	16.04414509543838	10.540523543593128	3.7121331134610225	4.126686620146996	6.882136659065607	20.86969190037057
