All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    sample_08_contigs_fixed
# contigs (>= 1000 bp)      1553                   
# contigs (>= 1200 bp)      687                    
# contigs (>= 1679 bp)      154                    
# contigs (>= 2500 bp)      25                     
# contigs (>= 5000 bp)      4                      
# contigs (>= 10000 bp)     1                      
# contigs (>= 25000 bp)     1                      
Total length (>= 1000 bp)   2029302                
Total length (>= 1200 bp)   1089180                
Total length (>= 1679 bp)   358809                 
Total length (>= 2500 bp)   112299                 
Total length (>= 5000 bp)   50581                  
Total length (>= 10000 bp)  28386                  
Total length (>= 25000 bp)  28386                  
# contigs                   1553                   
Largest contig              28386                  
Total length                2029302                
GC (%)                      52.40                  
N50                         1220                   
N75                         1091                   
L50                         626                    
L75                         1067                   
# N's per 100 kbp           0.00                   
