All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    sample_03_contigs_fixed
# contigs (>= 1000 bp)      6435                   
# contigs (>= 1200 bp)      3077                   
# contigs (>= 1679 bp)      745                    
# contigs (>= 2500 bp)      117                    
# contigs (>= 5000 bp)      12                     
# contigs (>= 10000 bp)     2                      
# contigs (>= 25000 bp)     1                      
Total length (>= 1000 bp)   8584790                
Total length (>= 1200 bp)   4941368                
Total length (>= 1679 bp)   1734296                
Total length (>= 2500 bp)   519968                 
Total length (>= 5000 bp)   193299                 
Total length (>= 10000 bp)  132160                 
Total length (>= 25000 bp)  112516                 
# contigs                   6435                   
Largest contig              112516                 
Total length                8584790                
GC (%)                      57.93                  
N50                         1254                   
N75                         1101                   
L50                         2548                   
L75                         4384                   
# N's per 100 kbp           0.00                   
