All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    sample_17_contigs_fixed
# contigs (>= 1000 bp)      134808                 
# contigs (>= 1200 bp)      82110                  
# contigs (>= 1679 bp)      32434                  
# contigs (>= 2500 bp)      10777                  
# contigs (>= 5000 bp)      1892                   
# contigs (>= 10000 bp)     416                    
# contigs (>= 25000 bp)     32                     
Total length (>= 1000 bp)   214546193              
Total length (>= 1200 bp)   157178784              
Total length (>= 1679 bp)   88123343               
Total length (>= 2500 bp)   45110913               
Total length (>= 5000 bp)   16288670               
Total length (>= 10000 bp)  6478848                
Total length (>= 25000 bp)  1042598                
# contigs                   134808                 
Largest contig              48813                  
Total length                214546193              
GC (%)                      62.48                  
N50                         1498                   
N75                         1183                   
L50                         44547                  
L75                         85242                  
# N's per 100 kbp           0.00                   
