All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    T3_N1K1_contigs_fixed
# contigs (>= 1000 bp)      328754               
# contigs (>= 5000 bp)      6132                 
# contigs (>= 10000 bp)     1329                 
# contigs (>= 25000 bp)     187                  
Total length (>= 1000 bp)   551928585            
Total length (>= 5000 bp)   55517312             
Total length (>= 10000 bp)  23845961             
Total length (>= 25000 bp)  7836081              
# contigs                   328754               
Largest contig              284613               
Total length                551928585            
GC (%)                      62.15                
N50                         1591                 
N75                         1212                 
L50                         101973               
L75                         202615               
# N's per 100 kbp           0.00                 
