Assembly	sample_23_contigs_fixed
# contigs (>= 1000 bp)	16015
# contigs (>= 1200 bp)	8388
# contigs (>= 1679 bp)	2662
# contigs (>= 2500 bp)	813
# contigs (>= 5000 bp)	178
# contigs (>= 10000 bp)	43
# contigs (>= 25000 bp)	5
Total length (>= 1000 bp)	23590166
Total length (>= 1200 bp)	15303590
Total length (>= 1679 bp)	7407214
Total length (>= 2500 bp)	3765661
Total length (>= 5000 bp)	1682378
Total length (>= 10000 bp)	721373
Total length (>= 25000 bp)	214885
# contigs	16015
Largest contig	74325
Total length	23590166
GC (%)	61.16
N50	1346
N75	1128
L50	5618
L75	10444
# N's per 100 kbp	0.00
