All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    sample_24_contigs_fixed
# contigs (>= 1000 bp)      225668                 
# contigs (>= 1200 bp)      142219                 
# contigs (>= 1679 bp)      59815                  
# contigs (>= 2500 bp)      20931                  
# contigs (>= 5000 bp)      3588                   
# contigs (>= 10000 bp)     709                    
# contigs (>= 25000 bp)     81                     
Total length (>= 1000 bp)   370476271              
Total length (>= 1200 bp)   279593873              
Total length (>= 1679 bp)   164785421              
Total length (>= 2500 bp)   87349155               
Total length (>= 5000 bp)   30863388               
Total length (>= 10000 bp)  11940452               
Total length (>= 25000 bp)  3021508                
# contigs                   225668                 
Largest contig              90404                  
Total length                370476271              
GC (%)                      61.30                  
N50                         1560                   
N75                         1204                   
L50                         72469                  
L75                         140775                 
# N's per 100 kbp           0.00                   
