Assembly	sample_04_contigs_fixed
# contigs (>= 1000 bp)	11351
# contigs (>= 1200 bp)	5904
# contigs (>= 1679 bp)	1767
# contigs (>= 2500 bp)	415
# contigs (>= 5000 bp)	29
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
Total length (>= 1000 bp)	15656148
Total length (>= 1200 bp)	9748232
Total length (>= 1679 bp)	4058291
Total length (>= 2500 bp)	1409864
Total length (>= 5000 bp)	193015
Total length (>= 10000 bp)	33986
Total length (>= 25000 bp)	0
# contigs	11351
Largest contig	21516
Total length	15656148
GC (%)	60.06
N50	1303
N75	1115
L50	4366
L75	7632
# N's per 100 kbp	0.00
