Assembly	sample_10_contigs_fixed
# contigs (>= 1000 bp)	359425
# contigs (>= 1200 bp)	232937
# contigs (>= 1679 bp)	103348
# contigs (>= 2500 bp)	38880
# contigs (>= 5000 bp)	7253
# contigs (>= 10000 bp)	1589
# contigs (>= 25000 bp)	182
Total length (>= 1000 bp)	615218507
Total length (>= 1200 bp)	477405797
Total length (>= 1679 bp)	296600667
Total length (>= 2500 bp)	167821492
Total length (>= 5000 bp)	64489021
Total length (>= 10000 bp)	27001933
Total length (>= 25000 bp)	7078157
# contigs	359425
Largest contig	139901
Total length	615218507
GC (%)	63.01
N50	1636
N75	1229
L50	109992
L75	219766
# N's per 100 kbp	0.00
