samples	T3_N1K1_MAG_00002	T3_N1K1_MAG_00004	T3_N1K1_MAG_00005	T3_N1K1_MAG_00006	T3_N1P2K2_MAG_00001	T3_N1P2K2_MAG_00006	T3_N1P2K2_MAG_00007	T7_N1P2K2_MAG_00004	T7_N1P2K2_MAG_00005	T7_N1P2K2_MAG_00007	T7_N1P2K2_MAG_00008	sample_16_MAG_00001	__splits_not_binned__
sample_01_reads_against_MAGs	11.45206885933775	12.242685707675166	8.468309691049948	14.735130088631463	0.4261288932478646	2.1738017968183447	0.25319746645847646	41.994527964224844	0.4135386530637904	0.15555579626382385	1.5477169343326544	6.137338148895984	0.0
sample_02_reads_against_MAGs	9.559453877514505	0.8813959651359324	0.13999722396719633	0.10188274903134625	2.7179349077559136	9.872138238014532	3.521448081243884	37.511082073810265	2.383773247096215	5.021952868978416	0.452567692535043	27.83637307491691	0.0
sample_03_reads_against_MAGs	11.925029276695394	4.631183254175808	1.7992157777506532	4.5751256697324	0.9931415977790047	6.270985341822797	2.287847020120707	41.44515842957718	1.5210058409581204	2.261724077192736	1.046120259314696	21.243463454881024	0.0
sample_04_reads_against_MAGs	3.9065151497881816	0.19620391116508742	0.06950851114649718	0.02738349270704907	0.8040848919848165	11.726376908703235	0.41526039630559325	12.860028363291509	3.865878503769251	18.076463019641654	0.06779282191646603	47.9845040295802	0.0
sample_05_reads_against_MAGs	22.83332230026025	2.99127496751226	1.2001444284750828	1.2479361696278126	1.7721079861139797	5.418152386103586	0.674252182783682	35.98123370595514	1.457083902785436	0.5056251948285795	8.030008857352417	17.888857918201765	0.0
sample_06_reads_against_MAGs	18.620966218338	1.0294418051125567	0.2775034760553694	0.37772974719514407	1.547067549894996	4.477125032039412	0.3996703016834501	50.13484171366486	0.6475846033695659	0.3707288816683758	5.225590361184448	16.891750309793597	0.0
sample_07_reads_against_MAGs	7.504773155902921	0.142312126274241	0.07234268232479753	0.019390052073940275	1.5512224123796463	11.95962892193435	1.8781202201130127	7.808862143642407	4.354219984074238	16.777622800204792	0.09345704283357073	47.83804845824196	0.0
sample_08_reads_against_MAGs	7.8216812376030695	0.1370416929929867	0.07677553819420607	0.028024288320769978	0.8822427551976967	13.577761347451624	0.15039673479694893	12.337515202113053	4.428938693206552	16.30922052080804	0.7552189832337393	43.49518300608131	0.0
sample_09_reads_against_MAGs	8.097502041605166	20.640824236182972	16.50381434341534	13.466090483700642	0.2941350960154738	1.9051314260596828	0.22299256299716863	32.81542832178176	0.31266927515804166	0.17463579952502725	1.2521093537481949	4.31466705981058	0.0
sample_10_reads_against_MAGs	8.434680046486848	0.8536861488096891	0.12301650866064696	0.04420867988809719	2.4497217679436587	9.72631906255414	3.027715811503312	33.01950156426105	2.396900021857938	4.7543779663953325	0.3770854648509006	34.79278695678852	0.0
sample_11_reads_against_MAGs	10.814187890103023	1.0640728958636143	0.17571565597413663	0.19339311274240806	1.323020148233341	8.556745332596147	3.1942015207011276	23.554792118413374	2.086977346977615	6.169514228866902	0.7575041058192773	42.10987564370926	0.0
sample_12_reads_against_MAGs	6.105294471279574	1.01490688887872	0.27301230051983716	0.5131714633774506	1.6594310365845795	11.21492712056313	1.022949826645983	35.018775268461255	2.47752498104656	5.414569083681423	0.4625772263968797	34.82286033256449	0.0
sample_13_reads_against_MAGs	22.074949535878858	3.539657963921023	0.7070728112426765	0.4274148619006928	1.735100026290305	5.3246947518682735	0.5648434469939145	38.17635380534092	1.6124767670047948	0.44773317136102664	4.751661173202407	20.638041684995223	0.0
